chavacano,type,english
pruba,verb,"to try, to taste"
prueba,noun,proof
publico,noun,adj. public
pueblo,noun,town
puede,verb,can
puente,noun,bridge
puera,adverb,"aside, aside from"
puerco,noun,pig
puerta,noun,door
pues,adverb,so
puesto,noun,"position, stall, booth, post, place"
pugaran,noun,nest
pulis,noun,"policeman, police"
pulmon,noun,lungs
pulso,noun,pulse
puma,verb,to smoke
punta,noun,"end, tip, peak, point"
puro,adjective,pure
pursigui,verb,to pursue
que,adverb,what
que tal,interjection,how are you?
quebra,verb,"to break, to crash, to smash"
quebrantao,adjective,"broken, crashed, smashed"
quebrao,adjective,"broken, crashed, smashed"
queda,verb,"to live, to stay"
quema,noun,"fire, burn"
quema,verb,to burn
quemodo,adverb,how
quere,verb,"to want, to like"
querida,noun,"love, dear, sweetheart"
querido,noun,"love, dear, sweetheart"
queso,noun,cheese
quien,adverb,who
quiere,verb,"to want, to like"
quieto,adjective,"quiet, calm, restful"
quita,verb,"to remove, to eradicate"
rabia,verb,to get angry
rabiao,adjective,angry
radio,noun,radio
rama,noun,branch
rapido,adjective,"rapid, fast, quick"
rasca,adjective,itchy
rason,noun,reason
rastro,noun,mark
raton,noun,"rat, mouse"
realiza,verb,to realize
rebelled,noun,rebel
rebenta,verb,to explode
recibi,verb,to receive
recio,noun,"hard, strong, severe, loud, heavy"
reclama,verb,to complain
reclamo,noun,complain
recoje,verb,"to keep, to pick up, to gather"
recoji,verb,"to keep, to pick up, to gather"
recompensa,verb,to compensate
reconoce,verb,to recall
reconocido,adjective,recalled
recuerdo,noun,"remembrance, memory"
referi,noun,referee
rega,verb,to water
regalo,noun,gift
regla,noun,menstruation
reina,noun,queen
reino,noun,king
reis,noun,roots
relacion,noun,"relation, relationship"
relo,noun,"watch, clock"
reloj,noun,"watch, clock"
relojero,noun,watch repairman
repiti,verb,to repeat
reporta,verb,to report
representa,verb,to represent
resa,verb,to pray
rescata,verb,to redeem
reserva,verb,to reserve
reservacion,noun,reservation
reso,noun,prayer
respeta,verb,to respect
respetao,adjective,respected
respeto,noun,respect
responsabilidad,noun,responsibility
responsable,adjective,responsible
resulta,noun,result
resureccion,noun,resurrection
reuni,verb,to reunite
reza,verb,to pray
rezo,noun,prayer
rico,adjective,rich
rindi,verb,to offer
rio,noun,river
riqueza,noun,richness
risas,noun,laughter
rizas,noun,laughter
robo,noun,"robbery, stealing, theft"
rodillas,noun,"knee, knees"
roga,verb,"to wish, to curse"
rompe,verb,to tear
ropa,noun,"cloth, shirt"
roto,noun,hole
rueda,noun,"tire, wheel"
ruta,noun,route
sabe,verb,to know
saber,noun,"knowledge, learning"
sabiondo,adjective,charlatan
sabor,noun,taste
sabroso,adjective,"delicious, tasty"
sabut,noun,agreement
sabut,verb,to make an agreement
saca,verb,"to get, to take"
sacate,noun,grass
saco,noun,sack
sacrificio,noun,sacrifice
sacudi,verb,"to beat, to hit, to punish"
saging,noun,banana
sagrao,adjective,sacred
saguan,noun,paddle for small boat
sal,noun,salt
sala,verb,to sift
salaan,noun,sifter
sale,verb,"to exit, to get out, to move out"
salida,noun,exit
salta,verb,to jump
saltada,noun,jump
salud,noun,health
saluda,verb,to greet
saludo,noun,greet
salva,verb,to save
salvacion,noun,salvation
salvador,noun,savior
salvao,adjective,saved
sandalias,noun,"sandal, sandals"
sangga,verb,"to shield, to obstruct for protection, to cover"
sangre,noun,blood
santo,noun,saint
saviondo,adjective,charlatan
saway,verb,"to stop, to prohibit, so restrain, to rebuke"
seco,adjective,dry
secreto,noun,secret
segundo,noun,"second, seconds"
seguro,noun,"sureness, certainty"
seguro,adverb,"maybe, perhaps"
selencio,adjective,silent
semana,noun,week
semeha,verb,"to look alike, to look the same"
semehante,adjective,"alike, the same"
semeja,verb,"to look alike, to look the same"
semejante,adjective,"alike, the same"
semilla,noun,seed
sentencia,noun,sentence
separa,verb,to separate
separacion,noun,separation
separao,adjective,separated
separta,verb,to separate
separtahan,verb,to separate from each other
separtao,adjective,separated
sequia,noun,thirst
sera,verb,to close
serao,adjective,closed
serra,verb,to close
serrado,adjective,closed
serrao,adjective,closed
servi,verb,to serve
servicio,noun,service
servidor,noun,server
siembra,verb,to plant
siembrador,noun,"planter, farmer"
siempre,adverb,of course
sigi,verb,to go along with (someone)
significa,verb,to signify
significacion,noun,significance
sigui,verb,to go along with (someone)
siguidor,noun,a person who go along with someone
siguiente,adjective,next
siguro,noun,"sureness, certainty"
siguro,adverb,"maybe, perhaps"
sila,pronoun,they
silao,noun,ray
silao,adjective,"dazzling, very bright"
silla,noun,chair
similla,noun,seed
sin,preposition,without
sinceridad,noun,sincerity
sindi,verb,to light up
sinta,verb,to sit down
sinti,verb,to feel
sipilla,verb,to brush
sirvi,verb,to serve
sobaco,noun,armpit
sobra,noun,excess
sobra,adjective,excessive
sobre,noun,envelope
sobre salta,verb,"to surprise, to shock, to amaze, to astonish"
sobre saltao,adjective,"surprised, shocked, amazed, astonished"
sobrina,noun,niece
sobrino,noun,nephew
soceso,noun,"happening, incidence"
sodor,noun,sweat
sofa,noun,sofa
sol,noun,sun
solamente,adverb,"only, solely"
soldao,noun,soldier
solo,adjective,alone
soltero,adjective,young
sombra,noun,shadow
sonrisa,noun,smile
soquia,verb,"to punch, to hit using a fist"
sostene,verb,to sustain
suba,verb,to massage
subay,noun,ant
subestima,verb,to underestimate
subi,verb,"to go up, to climb"
sublang,noun,bad wish
sucede,verb,to happen
sucede,verb,to happen
suceso,noun,"happening, incidence"
sucio,noun,"dirt, waste"
suda,verb,to sweat
suegra,noun,mother-in-law
suegro,noun,father-in-law
sueldo,noun,"wage, salary"
suena,adjective,loud
sufri,verb,to suffer
sufrimiento,noun,"suffering, torment"
suksuk,verb,"to cram in, to force into"
sumi,verb,to drown
sungkit,noun,
supla,verb,"to blow, to hit, to shoot"
suplica,verb,to supply
suput,adjective,uncircumcised
sustantivo,noun,noun
suut,verb,"to cram in, to force into"
tabo,noun,dipper
tai,noun,feces
tajia,verb,to hit using a long heavy single-edge knife (bolo)
talla,adverb,there (far)
talli,adverb,there (near)
tamen,adverb,also
tampa,adjective,pretentious
tanto,adverb,"really, much (no hay tanto – not much)"
tapa,verb,"to cover, to protect"
tapao,adjective,"covered, protected"
taqui,adverb,it’s here
tarda,verb,"to be slow, to delay"
tarda,adjective,"slow, delayed"
tarde,noun,afternoon
tarjeta,noun,card
tarta,noun,cake
tasa,noun,small cup
tata,noun,father
taza,noun,small cup
tecasin,adjective,"deceptive, deceiving"
techo,noun,roof
tela,noun,"cloth, fabric"
tembla,verb,"to shake, to quake, to tremble"
temblor,noun,earthquake
templao,adjective,mixed
templo,noun,temple
temprano,adverb,early
tenta,verb,to tease
tentacion,noun,"temptation, tease"
tercer,adjective,third
tercera,adjective,third
tercero,adjective,third
termino,noun,"term, end"
terrible,adjective,"terrible, dreadful, frightful, horrible"
tesoro,noun,treasure
testigo,noun,witness
tia,noun,auntie
tiangge,noun,market
tiempo,noun,"whether, time"
tienda,noun,store
tiene,verb,to have
tierra,noun,"land, lot, soil"
tiit-tiit,adverb,slowly
tijeras,noun,scissors
tinapa,noun,sardines
tio,noun,uncle
tira,verb,"to shoot, to fire"
tiro,noun,shot
tisud,verb,to stumble
toalla,noun,towel
toca,verb,to play (music or instrument)
tocador,noun,"player, instrumentalist"
todo,pronoun,"all, everybody, everyone"
toma,verb,to drink
tomada,noun,drink
tomao,adjective,drunk
tonterias,noun,"foolishness, stupidity"
tonto,adjective,"idiot, foolish, stupid, moron"
tormento,adjective,"hard, difficult"
torre,noun,tower
tortuga,noun,turtle
tos,noun,cough
tose,verb,to cough
trabaja,verb,to work
trabajador,noun,"worker, employee"
trabajo,noun,"work, job, profession"
traga,verb,to eat (vulgar)
tragon,adjective,gluttonous
traidor,noun,traitor
traje,noun,"attire, outfit, costume, suit, dress"
trambulicao,adjective,"messy, scattered"
trampa,noun,trap
trancao,adjective,closed
trapo,noun,"rag, wiper"
trata,verb,to treat
tratamiento,noun,treatment
traveza,verb,to cross
trinca,verb,"to tie up, to bind, to fasten"
trincao,adjective,"tied up, bound, fastened"
tripa,noun,intestine
triste,adjective,"sad, lonely"
tristesa,noun,"sadness, loneliness"
tristeza,noun,"sadness, loneliness"
trompeta,noun,trumpet
trono,noun,throne
trueno,noun,thunder
tuba,noun,coconut wine
tuca,verb,to play (music or instrument)
tuhod,noun,"knee, knees"
tumba,verb,"to tumble, to fell, to topple"
tumbada,noun,"tumble, fall"
tumpuk,noun,"bunch, group"
tunuk,noun,thorn
tupa,verb,"to touch, to hit, to make something or someone touch or hit another thing or person, to win"
tustus,noun,"the remaining overcooked rice at the side or bottom part of the pot, pan or rice cooker"
tuyo,verb,to be sleepy
tuyu,verb,to be sleepy
ulam,noun,viand
ulan,noun,rain
uliji,adjective,last
ultimo,adjective,"last, final, end"
ultraja,verb,"to outrage, to offend"
umalin,adjective,"bad, unpleasant, displeasing, unlovely"
un,article,"a, an"
un,adjective,one
una,adjective,first
unico,adverb,only
unido,adjective,united
universidad,noun,university
uno,adjective,one
usa,verb,"to use, to wear"
usik,verb,to waste
utuk,noun,brain
uvas,noun,grapes
uwak,noun,crow
uyuk,verb,"to quake, to shake"
uyun,verb,"to be used to, to be accustomed, to be habituated"
uyun,adjective,"used to, accustomed, habituated"
vaca,noun,cow
vacante,adjective,vacant
vacio,adjective,empty
vale,adjective,"good, pleasant, nice, beautiful"
valiente,adjective,"brave, courageous"
valor,noun,"value, price"
variacion,noun,variation
vaso,noun,waterglass
vaya,verb,to be with
veces,noun,times (dos veces – two times)
vecinos,noun,neighbor
vehiculo,noun,vehicle
vena,noun,vein
vende,verb,to sell
vene,verb,to ask someone to come near or draw near
veneno,noun,poison
venenoso,adjective,poisonous
venga,verb,"to avenge, to fight back"
venganza,noun,revenge
venida,noun,"arrival, coming, advent"
ventaja,adjective,"advantageous, beneficial, profitable, interesting"
ventilador,noun,electric fan
verano,noun,summer
verdad,noun,truth
verdadero,noun,truthfulness
verde,adjective,green
verdugo,noun,"tyrant, executioner"
vergüenza,noun,shame
vestida,noun,"robe, attire, gown, dress, garment, apparel"
vestido,noun,"robe, attire, dress, garment, apparel"
vez,noun,time (una vez – one time)
viaja,verb,to travel
viaje,noun,"travel, trip"
victorioso,adjective,victorious
vida,noun,life
viejo,adjective,old
viento,noun,air
vinagre,noun,vinegar
vino,noun,wine
vinta,noun,small boat
violeta,adjective,violet
vira,verb,"to return, to come back"
virgen,adjective,virgin
visia,verb,"to take care, to watch carefully"
visita,noun,visitor
visita,verb,to visit
visperas,noun,eve
vista,noun,sight
visti,verb,to wear
viuda,noun,widow
viudo,noun,widower
viva,interjection,hurray
vivi,verb,to live
vivo,adjective,alive
vocabulario,noun,vocabulary
voces,noun,voices
volve,verb,to go home
vos,pronoun,singular you
vosotros,pronoun,plural you
voto,noun,vote
voz,noun,voice
vulador,noun,kite
y,conjunction,and
ya,adverb,already
ya,marker,marker for past action
yagit,noun,a person who is untidy or unpleasant
yan,marker,marker for past action
yo,pronoun,i
zacate,noun,grass
zapatos,noun,"shoe, shoes"
zona,noun,zone
quetal,phrase,hello
quidao,phrase,take care
buenas dias,phrase,good morning
buenas tardes,phrase,goot afternoon
buenas noches,phrase,good evening
muchas gracias,phrase,thank you very much
de nada,phrase,you're welcome
dispensa kumigo,phrase,sorry
dispensa kumigo,phrase,excuse me
quetal ya tu,phrase,how are you
bueno gracias,phrase,i'm good thank you
donde esta el bano,phrase,where is the nearest toilet
donde esta el casillas,phrase,where is the nearest comfort room
con el gas station,phrase,where is the nearest gas station
onde puede compra gasolina,phrase,where can i buy gas
estasyon del pulis,phrase,where is the nearest police station
donde esta el hospital,phrase,where is the nearest hospital
donde esta la farmacia,phrase,where is the nearest pharmacy
donde esta el hotel,phrase,where is the nearest hotel
paquilaya yo puede llega na la hotel,phrase,how do i get to the hotel
paquilaya yo puede llega na la hospital,phrase,how do i get to the hospital
paquilaya yo puede llega na la gas station,phrase,how do i get to the gas station
paquilaya yo puede llega na la farmacia,phrase,how do i get to the pharmacy
paquilaya yo puede llega na la pulis,phrase,how do i get to the police station
cuanto el pasaje para mala hotel,phrase,how much is the fare to the hotel
cuanto el pasaje para ir la hospital,phrase,how much is the fare to the
cuanto el pasaje para de la gas station,phrase,how much is the fare to the
cuanto el pasaje parana la farmacia,phrase,how much is the fare to the
cuanto el pasaje para na la pulis,phrase,how much is the fare to the
puede yo saca mi sinsilyo,phrase,may i have my change
para anay pabor,phrase,stop please
quiere yo man reserva un cuarto,phrase,i would like to book a room
quiere yo man saca un cuarto,phrase,i would like to book a room
tiene pa oste maga cuarto,phrase,do you have rooms available
cosa hora tu man check-in,phrase,what time is check-in
cosa hora tu man check-out,phrase,what time is check-out
tiene cuidao,phrase,travel safely
cuanto este,phrase,how much is this
puede yo compra ansina cantidad de 10,phrase,may i buy 10 of this
tiene oste mas grande,phrase,do you have this in a bigger size
tiene oste mas jutay,phrase,do you have this in a smaller size
quiere era yo man order,phrase,i would like to order please
puede yo man order,phrase,i would like to order please
puede oste kita con el [certain ingredient] na diamon comida favor,phrase,may we remove [certain ingredient] from the dish please
dulce el comida,phrase,the dish is sweet
agriu el comida,phrase,the dish is sour
salaw el comida,phrase,the dish is salty
puede yo pidi ayuda,phrase,may i ask for help
cosa ya hora,phrase,what time is it
cosa hora ya,phrase,what time is it
perdido yo,phrase,i'm lost
necita yo direccion,phrase,i need directions
malo yo ta sinti,phrase,i am sick
irido yo,phrase,i am injured
ya perde di mio phone,phrase,i lost my phone
ya perdi di mio wallet,phrase,i lost my wallet
ya perdi di mio bag,phrase,i lost my bag
bienvenido,phrase,welcome (single person)
bienvenidos,phrase,welcome (multiple person)
que tal? hola!,phrase,hello (general greeting)
como esta usted,phrase,how are you? (formal)
que tal man usted,phrase,how are you? (informal)
que tal man evos,phrase,how are you? (informal)
"muy bien, gracias. y tu?",phrase,reply to 'how are you?'  (informal)
"muy bien, gracias. y usted?",phrase,reply to 'how are you?' (formal)
"bueno man, gracias. y tu?",phrase,reply to 'how are you?' (informal)
"bueno man, gracias. y usted?",phrase,reply to 'how are you?'
hace mucho tiempo no hay mira yo contigo,phrase,long time no see
por cuantos tiempo no hay mira,phrase,long time no see
cosa di uste nombre?,phrase,what's your name? (formal)
cosa su gracia?,phrase,what's your name? (very formal)
cosa tu nombre?,phrase,what's your name? (informal)
cosa de vos nombre?,phrase,what's your name? (informal)
vos nombre cosa?,phrase,what's your name?
mi nombre es ...,phrase,my name is ...
mi nombre ...,phrase,my name is ...
de donde lugar tu?,phrase,where are you from? (informal)
de donde lugar usted?,phrase,where are you from? (formal)
de donde lugar vos?,phrase,where are you from? (coarse)
de ... yo,phrase,i'm from ...
mucho gusto de conocer contigo,phrase,pleased to meet you
alegre yo conoce contigo,phrase,pleased to meet you
adios,phrase,goodbye
anda ya yo,phrase,goodbye (said by the one leaving)
hasta la vista,phrase,goodbye
hay vene ya yo,phrase,goodbye (i'll return already)
buena suerte,phrase,good luck!
salud,phrase,cheers! good health!
que tiene un buen dia,phrase,have a nice day
buen apetito,phrase,have a nice meal
buen aprovecho,phrase,have a nice meal
come ya,phrase,have a nice meal
que tiene tu un buen viaje,phrase,have a good journey
que tiene vos un buen viaje,phrase,have a good journey
que tiene usted un buen viaje,phrase,have a good journey
no sabe yo,phrase,i don't know
"ta entende, tu?",phrase,do you understand?
ta entende yo,phrase,i understand
"si, ta entende yo",phrase,i understand
jendeh yo ta entende,phrase,i don't understand
por favor habla mas despacio,phrase,please speak more slowly
favor escribi ese,phrase,please write it down
"favor, habla otra ves",phrase,please say that again
sabe tu combersa ingles?,phrase,do you speak english?
habla usted chabacano?,phrase,do you speak chabacano? (formal)
habla ba tu chabacano?,phrase,do you speak chabacano? (informal)
habla evos chabacano?,phrase,do you speak chabacano? (informal)
"si, un poco",phrase,"yes, a little (reply to 'do you speak ...?')"
como se dice ... en chabacano?,phrase,how do you say ... in chabacano?
como se habla ... en chabacano?,phrase,how do you say ... in chabacano?
que modo se dice ... en chabacano?,phrase,how do you say ... in chabacano?
"sabe tu combersa otro lenguahe, hinde lang chavacano?",phrase,do you speak a language other than chabacano?
permiso,phrase,excuse me
con permiso,phrase,excuse me
tabih po,phrase,excuse me
perdona conmigo,phrase,sorry
gracias,phrase,thank you
no hay de que,phrase,reply to thank you
donde esta el inodoro?,phrase,where's the toilet / bathroom?
este caballero hay paga para todo,phrase,this gentleman will pay for everything (formal)
este hombre hay paga para todo,phrase,this gentleman will pay for everything (informal)
este dama hay paga para todo,phrase,this lady will pay for everything (formal)
este mujer hay paga para todo,phrase,this lady will pay for everything (informal)
quiere usted baila conmigo?,phrase,would you like to dance with me? (formal)
quiere ba tu baila conmigo?,phrase,would you like to dance with me? (informal)
quiere evos baila conmigo?,phrase,would you like to dance with me? (informal)
tan triste yo kontigo,phrase,i miss you
ama yo contigo,phrase,i love you
ta ama yo contigo,phrase,i love you (formal)
contigo ta ama,phrase,i love you (informal)
quiere yo,phrase,i love you
quiere yo contigo,phrase,i love you
recupera usted pronto!,phrase,get well soon
recupera tu pronto!,phrase,get well soon
recupera vos pronto!,phrase,get well soon
deja conmigo!,phrase,leave me alone!
socorro!,phrase,help!
ayuda conmigo!,phrase,help!
fuego!,phrase,fire!
para usted!,phrase,stop!
para tu!,phrase,stop!
para vos!,phrase,stop!
basta!,phrase,stop!
llama con el policia!,phrase,call the police!
feliz pascuas,phrase,christmas greetings
prospero año nuevo,phrase,new year greetings
felices pascua,phrase,easter greetings
feliz cumpleaños,phrase,birthday greetings
jendeh gayot bastante un lenguaje lang,phrase,one language is never enough
jendeh gayot bastante un idioma lang,phrase,one language is never enough
mio banca lleno de anguilas,phrase,my hovercraft is full of eels
mio hovercraft lleno de anguilas,phrase,my hovercraft is full of eels
arroz arroz,idiomatic expression,very serious
"juego juego lang kita, no hace arroz arroz el juego",phrase,it’s just a game. don’t take it seriously.
arya,idiomatic expression,to drive someone away
ya arya conele de suyo nana cuando ya sabe cae ta man novio-novio,phrase,her mother drove her away when the mother knew that she’s having a boyfriend
balimbing,idiomatic expression,"a person who favors both side, a turncoat person, traitor"
bien balimbing gayot diamond barrio capitan,phrase,our barangay captain is a turncoat person
bola-bola,idiomatic expression,used to express disbelief
man sungkit gayod yo el maga estrella para contigo,phrase,i will reach for the stars for you
travesa yo monte y aplaya para mira lang contigo,phrase,i will cross the mountain and sea jusft to see you
bola-bola!,phrase,talk to your egg.
bulao,idiomatic expression,out of ones’ mind
bulao man gayod este si juan. pensa'y pensa con el novia.,phrase,juan is out of his mind. he always thinks of his girlfriend.
bungul,idiomatic expression,used to tell someone who ignores something
bungul man gayod vo! saca daw quel oh!,phrase,you’re so deaf! get that one!
busca cen,idiomatic expression,"to find ways to earn money, to earn for a living, to work"
"pang, dale comigo cen",phrase,"dad, give me money"
"luego ya, noy. busca anay yo cen.",phrase,"later, son. i will still look for it."
busca la vida/la vida,idiomatic expression,"to earn for a living, to work"
ta busca/ta man la vida pa mi tata,phrase,my father is still working or earning for a living.
cabrito,idiomatic expression,a person who does not (want to) take a bath.
enante pa yo ya habla cae baña. cabrito gaja este ele oh.,phrase,i have already told you to take a bath. maybe you are a goat.
caliente boca,idiomatic expression,used when something bad happened because someone said it.
bien caliente boca man gayod vos! ya perde ya lng yo na puestahan.,phrase,you really have a hot mouth! (look) i lost in betting.
cavana,idiomatic expression,used to someone has just had a sex
yan cavana ya sila dos,phrase,they’re done having sex
cencillo,idiomatic expression,"something is just nothing in terms of monetary value, the amount is considered coins, break into pieces"
libre tamen alli. cencillo lang se contigo.,phrase,you also treat us. it’s just nothing to you.
ya queda cencillo el motor por causa na accidente.,phrase,the motorcycle broke into pieces because of the accident.
claro ya el basilan,idiomatic expression,expression of certainty or of favorable conclusion especially when someone or a group is likely to win a game
gana ya kita. claro ya el basilan.,phrase,i can already see that we will win.
conviene,idiomatic expression,used to make someone realize that he/she did something bad and that he deserves it; good for you.
conviene con vos! ama pa con ele.,phrase,you deserve it! go and love him/her again
cuero,idiomatic expression,uncircumcised
si leo cuero,phrase,leo is uncircumcised
cuchara malabao,idiomatic expression,gossiper
mio nana cuchara malabao,phrase,my mother is gossiper.
cupal,idiomatic expression,"boastful, arrogant, conceited"
quien aquel ele? bien ma-cupal man aquel.,phrase,who is he/she? he/she is very arrogant.
de alla alla,idiomatic expression,one who lives in a very far place
bien alboroto man gayod kamo. de alla alla siguro kamo.,phrase,you are very noisy. you probably live in a very far place.
de loco,idiomatic expression,foolish
mira kita tom and jerry,phrase,let’s watch tom and jerry
de loco se,phrase,that’s foolish
duele na orejas,idiomatic expression,irritable
ta duele mi orejas cada vez le conversa,phrase,it’s irritable every time he/she speaks.
duro,idiomatic expression,"brave, courageous"
ya habla ya no anda alla. tampa duro man gayod. conviene con vos.,phrase,i told you not to go there. you think you’re brave. good for you.
evos ya,idiomatic expression,used to tell that someone acts like somebody.
"evos ya! cosa bo ta pensa comigo, no sabe?",phrase,"you already! what do you think of me, i don’t know it?"
grande tai,idiomatic expression,a rich or influential person
grande tai daw aquel quien ya muri alla oh,phrase,"accordingly, that man who passed away is influential/rich."
grueso cara,idiomatic expression,"shameless, without shame"
hinde gane aquel ele invitado pero talla na cumpleaño de juan. grueso man aquel el cara.,phrase,he/she is not invited at the birthday party of juan. his/her face is thick.
hirvi sangre,idiomatic expression,angry; used to tell that someone/something causes someone to be angry
maca hirvi sangre man gayod mira con aquellos de coche ta buta lang basura na camino,phrase,it makes me angry when i see people in the car throwing waste along the road.”
diutay se,idiomatic expression,very big
jutay se pescao,phrase,that fish is very big.
labuyo,idiomatic expression,used to tell that someone has not attended the class and went just anywhere
taqui lang gane vos na computeran! bien labuyuin gayod vos noy.,phrase,you are just here at the internet cafe! you are so class-cutter.
larga palabra,idiomatic expression,"a promise, a curse, say something bad"
ta llora si juana,phrase,juana is crying.
por que daw?,phrase,why is that so?
ya larga con ele palabra disuyo tata.,phrase,her father said something bad to her.
lava mano,idiomatic expression,does not want to accept responsibility or does not want to admit the fault.
habla ya el verdad. no mas ya lava mano.,phrase,just tell the truth. stop washing your hands.
ma eche,idiomatic expression,not straightforward
hace claro. bien ma eche gayod tu.,phrase,make it clear. you are not straightforward.
marca palabra,idiomatic expression,to promise
nunca gayod yo pidi ayuda con vos! marca vos mi palabra.,phrase,i will never help you. mark my word.
merloquet,idiomatic expression,very far
donde tu anda?,phrase,where are you going?
alla na merloquet.,phrase,somewhere very far.
moñeca de pogon,idiomatic expression,ugly
si nene dol moneca de pogon si ta llora,phrase,nene looks ugly when she cries.
muerto de risas,idiomatic expression,used to express extreme happiness; extreme laugh.
maca muri gayod na risas si vice ganda.,phrase,vice ganda will really cause us to laugh extremely.
na lata,idiomatic expression,underdog
juga kamo kanila? na lata lang kamo.,phrase,are you going to play with them? you will not win.
nineteen ninety calawang,idiomatic expression,very old
nineteen ninety calawang pa man gayod se cancion,phrase,that song is very old
no hay chance,idiomatic expression,used to tell that someone/something is not beneficial.
no hay chance sigi con robin.,phrase,there is nothing we can get from being with robin
piti pies/pitik pies,idiomatic expression,to look for a way to cause conflict/trouble.
si arnel ta busca gayod piti pies.,phrase,arnel is really looking for trouble.
poco se/ese,idiomatic expression,enormous; large in number.
poco se gente na paseo del mar.,phrase,there are so many people at the paseo del mar.
por pecho,idiomatic expression,to take seriously.
no hace por pecho el cosa yo ya habla. broma lang aquel.,phrase,do not take seriously what i said. it’s just a joke.
queda blanco el uwak,idiomatic expression,used to express impossibility
man libre yo contigo si queda blanco el uwak,phrase,i will treat you if the crow will turn into black.
seco,idiomatic expression,used to express emptiness in terms of money; no money
libre daw conmigo,phrase,(you) treat me
bien seco gayod yo ahora,phrase,i have really nothing now.
siembra caña,idiomatic expression,to hold a grudge or resentment
no mas man broma-broma con lizel cae ta siembra se caña,phrase,don’t you ever make joke with lizel because she really holds a grudge
suda frio,idiomatic expression,"to be nervous, tensed, worried, anxious"
ya suda ya lang yo frio enantes na recitacion,phrase,i was nervous earlier during the recitation.
supla,idiomatic expression,"punch, hit, shoot"
dinigrido man se dituyo un ojos. quien contigo ya supla?,phrase,your eye is black. who hit you?
ta mira,idiomatic expression,i think
ta mira yo man separtahan se sila,phrase,i think they will be separated.
talli pa el luz,idiomatic expression,used when someone insists that he/she is telling the truth
nohay daw clase luego habla si sir.,phrase,there will bo no class this afternoon according to our teacher.
todo bagon.,phrase,that’s a lie.
deberasan ba. talli pa el luz,phrase,it’s true. i’m telling the truth.
tampa si quien,idiomatic expression,used with someone who feels or thinks that he/she is important or is somebody.
no queda tampa si quien si juga basketball.,phrase,don’t act as if you’re somebody when you play basketball
tomao,idiomatic expression,drunk
por que daw ya accidenta si junjun?,phrase,why did junjun involve in an accident?
tomao daw aquel ele,phrase,because he was drunk accordingly.
todo bagon,idiomatic expression,foolish
bien guapo gayod yo.,phrase,i am so handsome.
todo bagon.,phrase,that’s a lie.
tu cuidao,idiomatic expression,it’s up to you
enamora ya gaha yo con ele? ta mira uste?,phrase,am i going to court her already? what do you think?
utuk bulinao,idiomatic expression,narrow mind or one who thinks narrowly.
bien utuk bulinao man gayod bo!,phrase,you really have a narrow mind.
yagit,idiomatic expression,someone who is untidy or who is physically unpleasant.
"noy, baña ya cae yagit ya gayod tu.",phrase,"kid, take a shower already because you look so untidy."