input,output
"Hola Zambo Artesanía, 

 Mi nombre es Anna Cruz, y ya oyi sobre su bonito coleccion de artesanias locales. Tan interesa yo con su Malong y cartera tejida. Tiene ustedes estos en diferentes colores y diseños? Ta planea yo para dales como regalo para un reunion de familia. Puede ustedes mandame el precio y si hay descuento si compra mucho? 

 Gracias! 

 Atentamente, 
 Anna","Hola Anna, 

 Gracias por su pregunta! Ta alegre kami que considera ustedes nuestros Malong y carteras tejidas como regalo. Actualmente tiene kami Malong en varios colores vivos y diseños tradicionales, a un precio de PHP 1,200 cada uno. Nuestras carteras tejidas estan disponibles a PHP 450 cada uno. Ofrecemos un 10% descuento si compra ustedes mas de 10 piezas. Avisa si cuanto necesita ustedes, y kami ta asisti con placer. 

 Atentamente, 
 Zambo Artesanía"
"Buenas,

 Mi nombre es Maria Santos y ta busca yo un bolsa tejida para regalo en el cumpleaños de mi mejor amiga. Puede ustedes recomendame algo bonito y duradero? Tambien, ofrecen ustedes personalizacion? 

 Gracias! 

 Sinceramente, 
 Maria","Buenas Maria, 

 Gracias por escribi! Recomendamos el bolsa tejida “Fiesta”, conocido por su diseño colorido y durabilidad, a un precio de PHP 1,800. Tambien, puede personaliza este añadiendo iniciales o decoraciones por PHP 300 adicionales. Avisa si quiere ustedes esto. 

 Sinceramente, 
 Zambo Artesanía"
"Hola Zambo Artesanía, 

 Y ta interesa yo compra unos canastas tejidas para almacenamiento en casa. Puede ustedes mandame los tamaños y precios? Tambien, estas canastas estan protegidas contra la humedad? 

 Suyo fielmente, 
 Carlos Mendoza","Hola Carlos Mendoza, 

 Gracias por su interes! Tiene kami canastas tejidas en tres tamaños: pequeño (PHP 500), mediano (PHP 750), y grande (PHP 1,200). Todos estan tratados contra humedad, perfecto para uso en la cocina. Avisa que tamaño y cantidad necesita ustedes. 

 Suyo fielmente, 
 Zambo Artesanía"
"Hola,

 Yo si Juan Dela Cruz, y ta busca yo tradiciones locales como recuerdo para giveaway en mi oficina. Puede ustedes recomendame articulos que reflejan la cultura de Zamboanga? Ta planea yo comprar en cantidad grande, asi puede ustedes mandame el precio y cuanto tiempo necesita para 50 piezas? 

 Gracias! 

 Atentamente, 
 Juan","Hola Juan Dela Cruz, 

 Gracias por considerar kami para sus giveaways! Recomendamos nuestros llaveros mini-Malong (PHP 150 cada uno) o platos decorativos pintados a mano (PHP 350 cada uno). Por 50 piezas, ofrecemos un 10% descuento. Necesitamos dos semanas para preparar todo. Dime cual ta gusta ustedes mas. 

 Atentamente, 
 Zambo Artesanía"
"Buenas Zambo Artesanía, 

 Ya mira yo sus aretes hechos a mano en su sitio web. Ta interesa yo si tiene ustedes con detalles de perla o conchas. Puede ustedes mandame fotos de sus diseños mas nuevos? Ta planea yo compra dos pares como regalo para mis hermanas. 

 Gracias! 

 Sinceramente, 
 Liza Reyes","Buenas Liza Reyes, 

 Gracias por su interes! Tiene kami aretes hechos a mano con perlas y conchas, con precios entre PHP 350 y PHP 600. Ya inclui fotos de nuestros últimos diseños. Avisa cual quiere ustedes ordenar. 

 Un cordial saludo,
 Zambo Artesanía"
"Buenas, 

 Mi nombre es Pedro Gomez, y ta planea yo un kasal. Ta busca yo recuerdos únicos hechos a mano para los invitados. Ofrecen ustedes decoraciones pequeñas, como canastas tejidas o posavasos? Puede ustedes mandame un catalogo y los precios para ordenes grandes? 

 Suyo fielmente, 
 Pedro","Hola Pedro, 

 Felicidades en su kasal que ta cerca ya! Tiene kami canastas tejidas pequeñas (PHP 120 cada uno) y posavasos hechos a mano (PHP 90 cada uno). Para pedidos grandes de 50 piezas o mas, ofrecemos un 10% descuento. Ya añadi el catalogo para su referencia. Avisa como puede kami ayudale mas. 

 Suyo fielmente, 
 Zambo Artesanía"
"Hola Zambo Artesanía, 

Ta busca yo sus mantelitos de mesa tejidos. Puede ustedes mandame el tamaño, diseño disponible, y el precio? Tambien, ustedes puede manda el pedido afuera de Zamboanga? 

Gracias,
Elisa Tan","Hola Elisa, 

 Gracias por su pregunta! Tiene kami mantelitos de mesa tejidos en tamaños de 4 pies (PHP 900), 6 pies (PHP 1,200), y 8 pies (PHP 1,500) con varios diseños tradicionales. Tambien, kami ta ofrece envio nacional con costo adicional. Avisa si necesita ustedes fotos de los diseños disponibles. 

 Un cordial saludo,
 Zambo Artesanía"
"Buenas Zambo Artesanía, 

Ya oyi yo que tiene ustedes decoraciones de madera tallada. Tiene ustedes algo que puede colgar en la pared? Ta busca yo algo bonito para mi sala que ta representa la cultura de Zamboanga. 

 Gracias! 

 Sinceramente, 
 Luis Enriquez","Buenas Luis, 

 Ta alegre kami por su interes en nuestros productos! Recomendamos el decoracion de madera tallada con diseño de “arbol de vida” de Zamboanga, perfecto para pared, a un precio de PHP 2,500. Avisa si quiere ustedes mirar fotos o si hay mas preguntas. 

 Sinceramente, 
 Zambo Artesanía"
"Hola Zambo Artesanía, 

Ta busca yo unos bolsos de hombro tejidos para un evento escolar. Tiene ustedes diseños apropiados para jovenes? Puede tambien personalizar los bolsos con el logo del escuela? 

 Suyo fielmente, 
 Andrea Lopez","Hola Andrea Lopez, 

 Gracias por escribi! Tiene kami bolsas de hombro tejidas ideales para jovenes, a un precio de PHP 1,200 cada uno. Ofrecemos personalizacion con el logo del escuela por PHP 200 adicionales por bolso. Avisa cuantos necesita ustedes. 

 Suyo fielmente, 
 Zambo Artesanía"
"Hola! Mire sus carteras y bolsas tejidas online, y quiero compra esos como giveaways para el evento de mi compañia. Puede ustedes manda precio por mayoreo para 50 piezas de cada uno? Gracias!","Estimado cliente,

Apreciamos su interes en nuestras carteras y bolsas tejidas! Para pedidos por mayoreo de 50 piezas de cada uno, ofrece nosotros descuentos competitivos. Manda yo un correo con los detalles de precios y opciones de personalizacion. Gracias por considerar nuestros productos para su evento.

Gracias! 

Suyo fielmente,
Zambo Artesanía"
"Saludos! Estoy organizando una pequeña reunion y quiero usa sus cestas tejidas como decoracion. Puede recomienda ustedes tamaños adecuados para contener flores? Necesito alrededor de 30 piezas. Por favor, incluya tambien los precios. Gracias!","Estimado cliente,

Gracias por contactarnos! Para flores, recomienda nosotros cestas de tamaño mediano. Tiene nosotros varias diseños disponibles, y comparte yo imagenes y detalles de precios pronto. Por favor, informa si tiene ustedes algun tema especifico en mente.

Un cordial saludo,
Zambo Artesanía"
"Hola! Recientemente vi sus productos en una feria local y me encantaron los individuales tejidos. Tiene ustedes disponibles para compra inmediata? Quiero pedir un set de 12. Tambien, cuales son las instrucciones de cuidado? Gracias!","Estimado cliente,

Gracias por su mensaje! Si, tiene nosotros individuales tejidos en stock. Un set de 12 cuesta [precio]. Son faciles de mantener—simplemente limpia con un paño humedo. Informa nosotros cuantos sets quiere, y procesa nosotros su pedido inmediatamente.

Sinceramente,
Zambo Artesanía"
"Estimado Señor/Señora, Quiero compra un adorno de pared grande tejido para mi casa. Puede manda ustedes imagenes de los diseños disponibles junto con las dimensiones y precios? Gracias!","Estimado cliente,

Estamos contentos que este interesado en nuestros adornos de pared tejidos! Manda yo fotos de piezas disponibles junto con dimensiones y precios. Estos articulos unicos son perfectos para decoracion del hogar. Informa nosotros sus preferencias.

Gracias! 

Atentamente, 
Zambo Artesanía"
Buen dia! Estoy buscando souvenirs unicos para mi boda proxima. Tiene ustedes Artesanías nativas pequeñas que puedan sirve como giveaways? Necesito 100 piezas. Puede manda ustedes recomendaciones? Gracias!,"Estimado cliente,

Gracias por considerar nuestros productos para su boda! Tiene nosotros varias Artesanías pequeñas, incluyendo llaveros y mini cestas. Manda yo opciones junto con detalles de precios. Nos encantaria ser parte de su dia especial!

Sinceramente,
Zambo Artesanía"
"Hola! Estoy interesado en sus abanicos pintados a mano. Puede ustedes crea diseños personalizados con el logo de nuestra compañia? Si si, cual es la cantidad minima de pedido y el precio? Gracias!","Estimado cliente,

Gracias por su consulta! Puede nosotros crea abanicos pintados a mano personalizados con el logo de su compañia. La cantidad minima de pedido es 30 piezas. Los precios dependen de la complejidad del diseño, y manda yo mas detalles por correo.

Suyo fielmente,
Zambo Artesanía"
"Hola! Quiero pide sus bolsas tejidas para uso personal. Puede informa ustedes mas sobre los materiales utilizados y si son amigables con el medio ambiente? Tambien, hay disponible un tamaño mas pequeño? Gracias!","Estimado cliente,

Gracias por su interes! Nuestras bolsas tejidas estan hechas de materiales amigables con el medio ambiente como ratan natural y abaca. Hay tamaños mas pequeños disponibles, y manda yo opciones para que puede escoge. Por favor, avisa si tiene preguntas adicionales.

Sinceramente, 
Zambo Artesanía"
Saludos! Soy dueño de una tienda de regalos local y quiero revende sus Malongs y carteras. Puede manda ustedes precios por mayoreo y cantidades minimas de pedido? Gracias!,"Estimado cliente,

Gracias por contactarnos! Ofrece nosotros precios por mayoreo para Malongs y carteras. La cantidad minima de pedido es 20 piezas por articulo. Manda yo una lista de precios y detalles sobre como proceder. Espero trabajar con ustedes!

Un cordial saludo,
Zambo Artesanía"
"Estimado Equipo de Artesanías, Escuche muchas cosas buenas sobre sus productos y estoy interesado en las cestas tejidas para mi tienda online. Puede ustedes manda ordenes a Manila, y cuanto es el costo de envio? Gracias!","Estimado cliente,

Estamos encantados de que quiera revender nuestros productos! Si, manda nosotros ordenes a Manila, y los costos de envio varian segun peso y volumen. Proporciona yo una cotizacion detallada junto con nuestro catalogo por mayoreo. Gracias por su apoyo!

Gracias!

Atentamente,
Zambo Artesanía"
"Hola, quiero ya recoge el mio orden. Donde esta localizado el suyo branch? Gracias!","Estimado cliente,

Muchas gracias por su consulta.

Aunque el nuestro operaciones esta 90% online para vende todo el pais,
abajo esta el lista de los locales branch donde ustedes puede visita con nosotros:

- Governor Camins Avenue: Cerca del KCC Mall de Zamboanga
- La Purisima Street: Junto con el SM City Mindpro
- Paseo del Mar: Dentro del complejo Paseo del Mar
- Canelar Moret: Por la Canelar Moret Street, cerca del Universidad de Zamboanga
- Tetuan Highway: Cerca del CityMall Tetuan

Abajo esta el nuestro horario de oficina:
Lunes - Jueves: 8am - 5pm
Viernes - Sabado: 8am - 7pm

Estamos cerrado durante Domingos y Dias Nacionales de Fiesta.

Atentamente,
Zambo Artesanía"
"Buenas Zambo Artesanía, 

 Yo si Teresa Delgado, y ta busca yo un decoracion para mi casa. Tiene ustedes espejos decorativos o colgantes de pared con diseños tradicionales de Zamboanga? Ta interesa yo mira sus opciones! 

 Gracias! 

 Sinceramente, 
 Teresa Delgado","Buenas Teresa Delgado, 

 Estamos emocionados por ayudarle decorar su casa! Tiene kami espejos decorativos hechos a mano con diseños tradicionales (PHP 3,000 cada uno) y colgantes de pared (PHP 2,000 cada uno). Ya añadi fotos de nuestras piezas disponibles para su referencia. Avisa si quiere ustedes proceder con un pedido. 

 Sinceramente, 
 Zambo Artesanía"